,0
38, 30D 50 g/m² 100% polyester with DWR finish
39, 50D 69 g/m² 100% nylon taffeta with DWR finish
40, 50D 69 g/m² 100% nylon
41, 100D 360 g/m² 100% recycled polyester knit with durable water-repellent (DWR) finish
42, 160D 118 g/m² 100% nylon woven faille with DWR finish
43, 30D 45 g/m² 100% nylon taffeta with DWR finish
44, 70D 118 g/m² 100% nylon with non-PFC durable water-repellent (non-PFC DWR) finish
45, 70D x 200D 360 g/m² 100% recycled polyester
46, 70D x 200D 346 g/m² 100% recycled polyester
47, 20D 38 g/m² 100% recycled nylon with durable water-repellent (DWR) finish
48, 30D 50 g/m² 100% recycled polyester with DWR finish
49, 50D x 50D 73 g/m² 100% recycled polyester taffeta with DWR finish
50, 20D 38 g/m² 100% recycled nylon with DWR finish
51, 30D 50 g/m² 100% recycled polyester with DWR finish
52, ThermoBall™ Eco 100% post-consumer recycled polyester: 11 g/ft² in body and sleeves; 13 g/ft² in collar
53, 75D x 170D 176 g/m² DryVent™ 2L—100% polyester woven with durable water-repellent (DWR) finish
54, 50D 73 g/m² 100% recycled polyester taffeta
55, 20D 38 g/m² 100% recycled nylon with durable water-repellent (DWR) finish
56, 30D 50 g/m² 100% recycled polyester with DWR finish
57, 50D x 50D 73 g/m² 100% recycled polyester taffeta with DWR finish
58, 20D 38 g/m² 100% recycled nylon with DWR finish
59, 30D 50 g/m² 100% recycled polyester with DWR finish
60, ThermoBall™ Eco 100% post-consumer recycled polyester: 11 g/ft² in body and sleeves; 13 g/ft² in collar
61, 50D 96 g/m² FUTURELIGHT™ 3L—100% recycled polyester woven with tricot backer and durable water-repellent (DWR) finish
62, 35D x 20D 106 g/m² FUTURELIGHT™ 3L—100% polyester with tricot backer and DWR finish
63, 155 g/m² 100% recycled polyester
64, 70D x 160D 128 g/m² DryVent™ 2L—100% nylon woven with durable water-repellent (DWR) finish
65, 80D x 50D 130 g/m² DryVent™ 2L—100% polyester woven with DWR finish
66, 50D 73 g/m² 100% recycled polyester taffeta
67, 40D 95 g/m² FUTURELIGHT™ 2L—100% recycled nylon with durable water-repellent (DWR) finish
68, 70D 52 g/m² FUTURELIGHT™ 2L—100% recycled nylon with DWR finish
69, 40D 50 g/m² 100% recycled polyester
70, 75D x 75D 112 g/m² DryVent™ 2L—100% polyester with durable water-repellent (DWR) finish
71, 75D x 75D 66 g/m² 100% polyester
72, 210 g/m² 100% polyester
73, 75D x 75D DryVent™ 2L—100% recycled polyester woven with durable water-repellent (DWR) finish
74, 75D x 75D 78 g/m² 100% recycled polyester
75, 50D 73 g/m² 100% recycled polyester taffeta
76, 20D 38 g/m² 100% recycled nylon with durable water-repellent (DWR) finish
77, 30D 50 g/m² 100% recycled polyester with DWR finish
78, 50D 73 g/m² 100% recycled polyester
79, 11 g/ft² ThermoBall™ Eco 100% post-consumer recycled polyester
80," 420 g/m² 80% polyester Sherpa fleece, 20% recycled polyester"
81, 70D 106 g/m² DryVent™ 2L—100% nylon ripstop
82, 75D 120 g/m² DryVent™ 2L—100% polyester woven
83, 80D 106 g/m² DryVent™ 2L—100% polyester woven
84, 78 g/m² 100% polyester knit
85, 75D 67 g/m² 100% polyester woven
86, 20D 38 g/m² 100% recycled nylon with durable water-repellent (DWR) finish
87, 30D 50 g/m² 100% recycled polyester with DWR finish
88, 50D x 50D 73 g/m² 100% recycled polyester taffeta with DWR finish
89, 20D 38 g/m² 100% recycled nylon with DWR finish
90, 30D 50 g/m² 100% recycled polyester with DWR finish
91, ThermoBall™ Eco 100% post-consumer recycled polyester: 11 g/ft² in body; 13 g/ft² in collar
92, 70D x 160D 110 g/m² WindWall®—100% nylon with durable water-repellent (DWR) finish
93, 50D x 50D 73 g/m² WindWall®—100% recycled polyester with non-PFC DWR finish
94, 40D x 40D 57 g/m² 100% nylon with non-PFC durable water-repellent (non-PFC DWR) finish
95," 40 g Ventrix™ 35% post-consumer recycled polyester, 65% polyester stretch synthetic"
96," 90D 124 g/m² 86% recycled polyester, 14% elastane with non-PFC durable water-repellent (non-PFC DWR) finish"
97, 155 g/m² 100% recycled polyester
98, 155 g/m² 100% recycled polyester
99, 70D x 160D 128 g/m² DryVent™ 2L—100% nylon woven with durable water-repellent (DWR) finish
100, 50D 73 g/m² 100% recycled polyester taffeta
101," 150 g/m² 50% recycled polyester, 37% cotton, 13% rayon tri-blend jersey"
102," 180 g/m² 50% recycled polyester, 37% cotton, 13% rayon"
103, 40D 85 g/m² DryVent™ 2.5L—100% nylon ripstop
104," 70D 154 g/m² DryVent™ 2.5L—62% nylon, 38% polyester"
105, 40D 85 g/m² DryVent™ 2.5L—100% nylon ripstop
106," 70D 154 g/m² DryVent™ 2.5L—62% nylon, 38% polyester"
107," 200 g Heatseeker™ Eco 70% post-consumer recycled polyester in hood, yoke, underarms and pockets"
108, 50D x 50D 73 g/m² WindWall®—100% recycled polyester with non-PFC durable water-repellent (non-PFC DWR) finish
109, 50D x 50D 76 g/m² 100% recycled polyester with non-PFC DWR finish
110, 20D 35 g/m² 100% recycled nylon ripstop with durable water-repellent (DWR) finish
111, 50D 73 g/m² 100% recycled polyester taffeta with DWR finish
112, 11 g/ft² ThermoBall™ Eco 100% post-consumer recycled polyester
113, 40D 54 g/m² 100% nylon ripstop with durable water-repellent (DWR) finish
114, 50D 73 g/m² 100% recycled polyester taffeta
115," 100% Nylon, Woven, Ripstop"
116," 182 g/m² 95% nylon, 5% elastane woven with PFC-free, non-fluorinated durable water-repellent (NF DWR) finish"
117," 90D 124 g/m² 86% recycled polyester, 14% elastane with non-PFC durable water-repellent (non-PFC DWR) finish"
118," 40 g Ventrix™ 35% post-consumer recycled polyester, 65% polyester stretch synthetic"
119, 50D 93 g/m² 100% recycled polyester
120, 10D x 10D 25 g/m² Pertex Quantum® GL—100% nylon ripstop with durable water-repellent (DWR) finish
121, 20D x 20D 35 g/m² 100% nylon ripstop
122, 7D x 7D 26 g/m² 100% nylon ripstop with DWR finish
123, 20D x 24D 48 g/m² 100% nylon with durable water-repellent (DWR) finish
124, 50D 96 g/m² FUTURELIGHT™ 3L—100% recycled polyester with tricot backer and durable water-repellent (DWR) finish
125," 170D x 30D 172 g/m² Kevlar® schoeller®-keprotec®—85% nylon, 15% Kevlar® basketweave with DWR finish"
126, 360 g/m² 100% recycled polyester fleece with durable water-repellent (DWR) finish
127, 73 g/m² 100% recycled taffeta
128, 118 g/m² 100% nylon Taslan®
129, 360 g/m² 100% recycled polyester fleece with durable water-repellent (DWR) finish
130, 118 g/m² 100% nylon Taslan®
131, 20D x 20D 38 g/m² 100% recycled nylon with durable water-repellent (DWR) finish
132," 75D 98 g/m² 2L, 100% recycled polyester with DWR finish"
133, 100% recycled nylon
134," 20D x 30D 62 g/m² 89% nylon, 11% elastane with non-PFC durable water-repellent (non-PFC DWR) finish"
135, 30D 85 g/m² 100% polyester mesh
136, 40D 54 g/m² 100% nylon ripstop with durable water-repellent (DWR) finish
137, 50D 69 g/m² 100% nylon plain weave with DWR finish
138, 20D x 24D 48 g/m² 100% nylon ripstop
139," 90D x 90 + 150D 192 g/m² 88% recycled polyester, 12% elastane double weave"
140, Ventrix™ 100% polyester stretch synthetic insulation: 60 g in body; 40 g in sleeves
